date,Unnamed: 0,Unnamed: 0.1,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,open_shift_1,MACD_shift_1,RSI_12_shift_1,K_shift_1,D_shift_1,close_MA_20_shift_1,close_MA_10_shift_1,close_MA_5_shift_1,close_shift_1,DEA,close_EMA_60,vol_MA_3,vol_shift_1,Klength_shift_1,vol_MA_3_shift_1,vol_shift_2,Klength_shift_2,vol_MA_3_shift_2,UpperShadowRate,LowerShadowRate,EntityRate,LimitUp,LimitDown,LimitUp_multiply_0.99,high_shift_0,LimitUp_shift_0,LimitUp_multiply_0.99_shift_0,high_shift_1,LimitUp_shift_1,LimitUp_multiply_0.99_shift_1,high_shift_2,LimitUp_shift_2,LimitUp_multiply_0.99_shift_2,vol_MA_3_multiply_2,vol_MA_3_multiply_2_shift_1,vol_MA_3_multiply_2_shift_2,vol_shift_2#vol_MA_3_multiply_2_shift_2#1&diff,vol#vol_MA_3_multiply_2#1&diff,high#LimitUp#1&diff,high_shift_1#LimitUp_shift_1#1&diff,high_shift_2#LimitUp_shift_2#1&diff,vol_shift_1#vol_MA_3_multiply_2_shift_1#1&diff,high#LimitUp#1&diff*vol#vol_MA_3_multiply_2#1&diff+high_shift_1#LimitUp_shift_1#1&diff*vol_shift_1#vol_MA_3_multiply_2_shift_1#1&diff+high_shift_2#LimitUp_shift_2#1&diff*vol_shift_2#vol_MA_3_multiply_2_shift_2#1&diff,MACD#0#0&thre
20150105,1861,1861,601328XSHG20150105,20200210010355,0,6620832,7.15,4590560768,601328.XSHG,6.72,1500,7.05,6.83,3270905.25,7426272.5,3.6764705882,6.8,4.0,6.682304587667117,6.573437915595738,6.314013021399296,6.105362717817254,6.8343681788904105,6.282493080863682,5.87502866167969,5.577788220954858,5.997743811105482,5.497991546120375,5.193450688402884,6.449646146247781,6.133571718381897,5.666316902316071,5.146252745351792,6.882773725297133,6.643135530635215,6.317578869933354,5.836306409385553,5.300640327712347,6.481835450037104,6.256156761860348,5.949564566830442,5.496327395246588,4.991865162991238,6.32,6.431159420289857,34.41372735938989,-176.518932788101,81.59913136976587,70.86494304760346,103.0675080140907,5.847953216374298,100.0,68.74999999999999,20.71917808219178,21.551724137931036,66.20278330019879,0.3613815531562595,0.09181337226752118,5.972154765413443,6.379443004703464,6.624,6.392999999999999,6.1425,5.815666666666668,5.48675,5.074333333333333,0.21999999999999972,0.1000000000000005,0.1100000000000003,0.06508359205619738,6.099500000000001,6.883818175232476,5.315181824767525,828.7356321839035,171343114,1.732806682901169,1.514578816683501,2.162136227213235,1.631578947368421,1.7160493827160481,100.0,6.68,0.04338304548769445,70.0,75.89520055115233,65.49784888652225,6.099500000000001,6.295,6.43,6.8,0.3613815531562595,5.359917994668882,6673946.0,7025550.0,0.1200000000000001,7104417.333333332,6375456.0,0.29000000000000004,6369157.0,0.23255813953488466,0.2558139534883725,0.5116279069767429,7.48,6.12,7.405200000000002,7.15,7.48,7.405200000000002,6.88,7.271000000000001,7.198290000000001,6.67,6.974,6.904260000000001,13347892.0,14208834.666666664,12738314.0,0,0,0,0,0,0,0,0
20150106,1862,1862,601328XSHG20150106,20200210010355,0,5732921,7.33,4031761664,601328.XSHG,6.86,1500,6.9,6.94,3270905.25,7426272.5,-2.1276595745,7.05,4.0,6.754869725111412,6.655078436696803,6.392144618546058,6.177602470742958,6.867184089445205,6.359681445755722,5.941155844797128,5.635275689608995,6.067148133328137,5.552972269801929,5.238359880813334,6.5315286651118205,6.2065648880598125,5.726496565617727,5.189555146701131,6.957515816864754,6.727474525065175,6.392761834701606,5.898291462586258,5.345241801102165,6.552223633358071,6.3355828051584675,6.020367941418018,5.5547016686491935,5.033868492300097,6.34,2.373887240356085,30.21324778260051,-137.7456395835428,78.83006273512342,73.51998294344345,89.45022231848336,23.497267759562828,82.9545454545455,66.80161943319838,13.48684210526316,12.195121951219509,60.1293103448276,0.3728341733726199,0.0916209617308832,6.040884042049482,6.459528696287545,6.74,6.462000000000002,6.175,5.8980000000000015,5.551,5.118333333333334,-0.040000000000000036,0.3899999999999997,0.040000000000000036,0.06690323778888659,6.1425,6.993017489532107,5.291982510467892,497.2602739726025,165610193,1.7406908432987482,1.736748763099958,1.441313861372121,1.667452830188679,1.6302325581395343,83.33333333333334,6.83,0.09181337226752118,68.74999999999999,81.59913136976587,70.86494304760346,6.1425,6.392999999999999,6.624,7.05,0.3728341733726199,5.410412486646953,6459767.666666668,6620832.0,0.21999999999999972,6673946.0,7025550.0,0.1200000000000001,7104417.333333332,0.8297872340425531,0.08510638297872353,0.08510638297872353,7.755000000000001,6.345,7.67745,7.33,7.755000000000001,7.67745,7.15,7.48,7.405200000000002,6.88,7.271000000000001,7.198290000000001,12919535.333333336,13347892.0,14208834.666666664,0,0,0,0,0,0,0,0
20150107,1863,1863,601328XSHG20150107,20200210010355,0,4164147,6.89,2815040512,601328.XSHG,6.64,1500,6.76,6.81,3270905.25,7426272.5,-2.0289855072,6.9,1.0,6.756579816740942,6.681308827522602,6.441192002739915,6.230547700675416,6.813592044722602,6.409721265036257,5.993984499971508,5.6841767465825175,6.120444430764438,5.600306690594009,5.2784030418445615,6.5730689078187625,6.259272993958879,5.77691136729491,5.228331562831967,6.959277211243171,6.770260975053326,6.447051183777644,5.950218708313758,5.385181509716926,6.553882422238712,6.3758768405842,6.0714948041401104,5.603604026276064,5.0714816159470075,6.61,-0.9378663540445494,26.32208394065104,-65.24677261499737,74.08546625405744,73.70847738031478,74.83944400154273,35.403726708074544,71.0,61.1336032388664,6.962025316455687,11.367380560131789,59.615384615384606,0.3805879706817532,0.062030378473065924,6.094151890786558,6.505755050704845,6.824,6.486999999999999,6.198000000000001,5.975666666666667,5.609,5.1605,-0.049999999999999815,0.08000000000000007,0.1200000000000001,0.061384872779206436,6.175,7.061895709765245,5.288104290234753,185.71428571428532,161446046,1.400207744392167,1.5704492938454568,1.560240576006839,1.530892448512586,1.4307692307692301,66.66666666666666,6.94,0.0916209617308832,66.80161943319838,78.83006273512342,73.51998294344345,6.175,6.462000000000002,6.74,6.9,0.3805879706817532,5.45466125757656,5505966.666666667,5732921.0,-0.040000000000000036,6459767.666666668,6620832.0,0.21999999999999972,6673946.0,0.3200000000000003,0.4800000000000004,0.1999999999999993,7.590000000000002,6.210000000000001,7.514100000000001,6.89,7.590000000000002,7.514100000000001,7.33,7.755000000000001,7.67745,7.15,7.48,7.405200000000002,11011933.333333334,12919535.333333336,13347892.0,0,0,0,0,0,0,0,0
20150108,1864,1864,601328XSHG20150108,20200210010355,0,4116913,6.83,2718756096,601328.XSHG,6.48,1500,6.53,6.79,3270905.25,7426272.5,-3.4023668638999998,6.76,2.0,6.681053211160628,6.643481620641952,6.453033069041259,6.257770636977651,6.671796022361301,6.4247561069067265,6.028566145134637,5.720951670644146,6.151948705321018,5.636765251747185,5.3113398039012845,6.56523819730626,6.285056518343747,5.8136473981585715,5.260471524243523,6.881484807495446,6.762195343225447,6.473608213894058,5.98805682010333,5.418285669970829,6.480621614825808,6.368281051387073,6.096504822793434,5.639237976213816,5.102657378516217,6.8,-4.083431257344294,20.96176644931835,-31.375905409475003,65.29445026958949,70.90380167673969,54.0757474552891,49.689440993788786,45.83333333333333,50.41666666666668,2.9968454258675132,5.1529790660225485,53.7117903930131,0.3810799979435263,0.0039362180941847616,6.126436935913482,6.5094850429041,6.808,6.522999999999999,6.24,6.043666666666668,5.654500000000001,5.199166666666667,-0.2599999999999998,0.040000000000000036,0.049999999999999815,0.06058591720451191,6.198000000000001,7.064002309465746,5.331997690534259,126.99386503067471,157329133,0.7956668977485868,1.0979373210703771,1.1712641658396599,1.389130434782609,1.256673511293634,50.0,6.81,0.062030378473065924,61.1336032388664,74.08546625405744,73.70847738031478,6.198000000000001,6.486999999999999,6.824,6.76,0.3810799979435263,5.489918265524869,4671327.0,4164147.0,-0.049999999999999815,5505966.666666667,5732921.0,-0.040000000000000036,6459767.666666668,0.1142857142857145,0.1428571428571425,0.742857142857143,7.436,6.084,7.361639999999999,6.83,7.436,7.361639999999999,6.89,7.590000000000002,7.514100000000001,7.33,7.755000000000001,7.67745,9342654.0,11011933.333333334,12919535.333333336,0,0,0,0,0,0,0,0
20150109,1865,1865,601328XSHG20150109,20200210010355,0,6020598,6.95,4010379776,601328.XSHG,6.42,1500,6.5,6.46,3270905.25,7426272.5,-0.4594180704,6.53,2.0,6.6207021407737505,6.607611215481462,6.459295326502423,6.279791488161501,6.58589801118065,6.4341615935433865,6.058981232545308,5.754823337137879,6.178721881834785,5.670617594815925,5.342620335377566,6.55337670688694,6.305527326120533,5.847128012882545,5.2910771656202265,6.819323204996964,6.749978008093549,6.494693145904149,6.022541853269023,5.4498094805888355,6.422081076550539,6.356775405680332,6.116361506336918,5.671714172496069,5.132344850651619,7.05,-3.675163011262599,19.40188838678865,-26.58542089821703,55.41593842262039,65.74118059203326,34.765454083794644,51.5527950310559,31.25000000000001,57.894736842105274,-1.6641452344931968,-0.1536098310291826,52.74725274725275,0.3756475046628758,-0.04345994624520355,6.154108273993963,6.5080258055342375,6.747999999999998,6.5889999999999995,6.277,6.105333333333334,5.70075,5.236999999999998,0.040000000000000036,0.4500000000000002,0.040000000000000036,0.06017811952274162,6.24,7.083755888868339,5.396244111131661,107.67263427109958,163349731,0.2738806907902722,0.5347737942694295,1.0875987016528879,1.3593073593073601,1.224489795918367,33.33333333333333,6.79,0.0039362180941847616,50.41666666666668,65.29445026958949,70.90380167673969,6.24,6.522999999999999,6.808,6.53,0.37564750466287583,5.5230356994420875,4767219.333333333,4116913.0,-0.2599999999999998,4671327.0,4164147.0,-0.049999999999999815,5505966.666666667,0.8490566037735848,0.07547169811320757,0.07547169811320757,7.183000000000002,5.877000000000002,7.1111699999999995,6.95,7.183000000000002,7.1111699999999995,6.83,7.436,7.361639999999999,6.89,7.590000000000002,7.514100000000001,9534438.666666666,9342654.0,11011933.333333334,0,0,0,0,0,0,0,1
20150112,1866,1866,601328XSHG20150112,20200210010355,0,3480781,6.58,2244689408,601328.XSHG,6.33,1500,6.48,6.47,3270905.25,7426272.5,-0.3076923077,6.5,2.0,6.573801427182501,6.575708411611098,6.462055949635436,6.297992261965001,6.532949005590326,6.439891394350461,6.086143733671415,5.786352757262319,6.201897121693647,5.702358081293732,5.37255137918342,6.540035487452951,6.322143771251911,5.877999817132177,5.3204332849876295,6.771015469997977,6.736236552076539,6.511808084389467,6.054339811646142,5.4800462835372565,6.376587384367026,6.343834422829362,6.132479458114354,5.701659822618211,5.160820286438001,6.9,-2.321374736207414,18.080104960093287,8.432580424366911,45.20354596906257,58.895302384376365,17.82003313843498,52.795031055900594,0.0,67.97752808988766,-4.705882352941168,5.024311183144254,51.991150442477895,0.365611151989919,-0.08029082138365462,6.178248401846262,6.503714143144356,6.633999999999999,6.629,6.319,6.159666666666666,5.74675,5.274333333333334,0.010000000000000677,0.09999999999999963,0.1399999999999997,0.05844403895094176,6.277,7.071956602589098,5.482043397410903,53.209109730848894,159868950,-0.08275795953101522,0.0955613656296285,1.4365200629919388,1.3713646532438477,1.212943632567849,16.66666666666666,6.46,-0.04345994624520355,57.894736842105274,55.41593842262039,65.74118059203326,6.277,6.5889999999999995,6.747999999999998,6.5,0.365611151989919,5.554411578148904,4539430.666666667,6020598.0,0.040000000000000036,4767219.333333333,4116913.0,-0.2599999999999998,4671327.0,0.3999999999999986,0.5599999999999987,0.0400000000000027,7.15,5.8500000000000005,7.0785,6.58,7.15,7.0785,6.95,7.183000000000002,7.1111699999999995,6.83,7.436,7.361639999999999,9078861.333333334,9534438.666666666,9342654.0,0,0,0,0,0,0,0,1
20150113,1867,1867,601328XSHG20150113,20200210010355,0,1817087,6.54,1178228736,601328.XSHG,6.4,1500,6.49,6.45,3270905.25,7426272.5,0.1543209877,6.48,2.0,6.545867618121668,6.554281308708324,6.465781823017378,6.315447510877272,6.511474502795163,6.446154970056652,6.112198976660356,5.816946115642217,6.224058881563367,5.733245999674369,5.401957921836488,6.530938126097869,6.338130078751728,5.907853484589144,5.349311475481762,6.742243646665317,6.726866269880805,6.528273981114283,6.085089089126817,5.5097908197462155,6.349491589578017,6.335009982314932,6.147986176389178,5.7306178800514695,5.188832131217309,6.76,-0.9462759462759368,17.37259015444713,6.612082147765462,37.053936306419075,51.61484702505726,7.932114869142738,52.173913043478244,2.325581395348789,63.22580645161292,-7.943262411347513,11.130136986301382,60.204081632653065,0.3525415540214725,-0.10455678374757194,6.2013411128206135,6.5016042749683,6.5520000000000005,6.645999999999999,6.359,6.197999999999999,5.794,5.312333333333333,0.040000000000000036,0.049999999999999815,0.049999999999999815,0.0556961405288318,6.319,7.062152743384561,5.575847256615439,33.04157549234142,158051863,-0.2644777161330586,-0.1736178378320369,1.847248502900202,1.344036697247707,1.17910447761194,16.66666666666666,6.47,-0.08029082138365462,67.97752808988766,45.20354596906257,58.895302384376365,6.319,6.629,6.633999999999999,6.48,0.3525415540214725,5.585086608373529,3772822.0,3480781.0,0.010000000000000677,4539430.666666667,6020598.0,0.040000000000000036,4767219.333333333,0.3571428571428567,0.3571428571428567,0.28571428571428664,7.128000000000001,5.832000000000002,7.056720000000001,6.54,7.128000000000001,7.056720000000001,6.58,7.15,7.0785,6.95,7.183000000000002,7.1111699999999995,7545644.0,9078861.333333334,9534438.666666666,0,0,0,0,0,0,0,1
20150114,1868,1868,601328XSHG20150114,20200210010355,0,3078023,6.72,2036703488,601328.XSHG,6.51,1500,6.63,6.52,3270905.25,7426272.5,2.1571648690000003,6.49,3.0,6.5739117454144465,6.5732109815312425,6.487677579948393,6.3440431917066125,6.570737251397581,6.469135598799572,6.1456054942951726,5.8522962845273385,6.255285121443107,5.768412823216552,5.4342748186302625,6.548949375898258,6.365927214108707,5.943080143877478,5.380933414358755,6.771129097776879,6.745417857175203,6.556905030531968,6.121372548193803,5.542361416789519,6.376694393052013,6.352480894621309,6.174949397685445,5.764787739561154,5.219505411927992,6.53,1.593625498007956,18.93230007534172,-21.77453921988824,34.70262420427938,45.9774394181313,12.15299377657556,43.47826086956522,34.88372093023253,60.68965517241379,-3.9130434782608767,9.046052631578943,60.902255639097746,0.3396860113077113,-0.10284434171008994,6.233093622982049,6.521357463434716,6.5260000000000025,6.675,6.412000000000001,6.238333333333332,5.84725,5.352500000000001,0.11000000000000032,0.08999999999999986,0.009999999999999787,0.050503939892207333,6.359,7.015676480468122,5.7023235195318795,96.02649006622536,161129886,-0.1929011777591821,-0.2286894469461204,1.7895507512532822,1.3883495145631068,1.196428571428571,33.33333333333333,6.45,-0.1045567837475719,63.22580645161292,37.053936306419075,51.61484702505726,6.359,6.645999999999999,6.5520000000000005,6.49,0.3396860113077113,5.6193460638366926,2791963.666666666,1817087.0,0.040000000000000036,3772822.0,3480781.0,0.010000000000000677,4539430.666666667,0.428571428571428,0.04761904761904661,0.5238095238095254,7.139000000000001,5.841,7.067610000000001,6.72,7.139000000000001,7.067610000000001,6.54,7.128000000000001,7.056720000000001,6.58,7.15,7.0785,5583927.333333333,7545644.0,9078861.333333334,0,0,0,0,0,0,0,1
20150115,1869,1869,601328XSHG20150115,20200210010355,0,3228181,6.87,2171963648,601328.XSHG,6.55,1500,6.85,6.63,3270905.25,7426272.5,3.3182503770999996,6.63,4.0,6.665941163609631,6.642408236148433,6.535987235955275,6.390039265187829,6.7103686256987904,6.5167436489496255,6.1910503011148394,5.895674706939192,6.301032419793638,5.8108280066198255,5.4715307444557855,6.603685853007665,6.412029384193593,5.987320136859063,5.417206663386934,6.86591939851792,6.801796428597895,6.604390265719402,6.166939740964836,5.5797228632885405,6.465962928701343,6.405575277417435,6.219668502667784,5.807700532753294,5.254690463485325,6.5,3.94537177541731,21.782107808277587,-38.17026781749014,40.46841613618624,44.14109832414961,33.12305176025949,31.372549019607874,88.09523809523813,65.45454545454547,1.33136094674556,8.386075949367077,64.79217603911981,0.3303743014512656,-0.07449367885156533,6.2787903916500465,6.5719178536755285,6.589999999999999,6.699,6.464499999999999,6.268,5.9090000000000025,5.396500000000001,0.21999999999999972,0.02000000000000046,0.08000000000000007,0.04912403552258378,6.412000000000001,7.0314021310909425,5.792597868909057,166.05504587155968,164358067,0.1344671347449287,-0.02921702150712668,1.716962430426356,1.3804878048780491,1.264501160092807,50.0,6.52,-0.1028443417100899,60.68965517241379,34.70262420427938,45.9774394181313,6.412000000000001,6.675,6.5260000000000025,6.63,0.3303743014512656,5.659695373219097,2707763.666666666,3078023.0,0.11000000000000032,2791963.666666666,1817087.0,0.040000000000000036,3772822.0,0.06250000000000139,0.25,0.6874999999999987,7.292999999999999,5.9670000000000005,7.22007,6.87,7.292999999999999,7.22007,6.72,7.139000000000001,7.067610000000001,6.54,7.128000000000001,7.056720000000001,5415527.333333333,5583927.333333333,7545644.0,0,0,0,0,0,0,0,1
20150116,1870,1870,601328XSHG20150116,20200210010355,0,8192749,7.39,5822498816,601328.XSHG,6.87,1500,7.21,6.95,3270905.25,7426272.5,5.2554744526,6.85,4.0,6.847294109073088,6.784306177111324,6.625855604494571,6.464581150170753,6.960184312849394,6.603400692830923,6.256788991365492,5.952819284898359,6.3709530028864325,5.865697496556301,5.517279935391158,6.713924788824452,6.4880265856989645,6.04696305701228,5.461473165525528,7.0527129323452815,6.915342532489188,6.682667383269933,6.228371948722649,5.6253173604912945,6.641875285800895,6.51250704515972,6.2933857881279955,5.86555416530191,5.297628970559762,6.48,7.1004159239453175,26.87854151268784,-99.67210827403342,54.651900065633605,47.64469890464427,68.66630238761226,13.33333333333331,97.3333333333334,67.24137931034483,10.413476263399689,13.72239747634069,67.27272727272727,0.3287625324746121,-0.012894151813227728,6.3477688811574495,6.670084337725448,6.732000000000001,6.74,6.517499999999997,6.3130000000000015,5.98,5.4465,0.2599999999999998,0.1799999999999997,0.08000000000000007,0.05118918196951207,6.464499999999999,7.145524962831758,5.783475037168237,409.7345132743366,172550816,0.7415674405239145,0.4380172876344217,3.2709661159095336,1.5907859078590791,1.612021857923497,66.66666666666666,6.63,-0.07449367885156533,65.45454545454547,40.46841613618624,44.14109832414961,6.464499999999999,6.699,6.589999999999999,6.85,0.3287625324746121,5.710525033113552,4832984.333333333,3228181.0,0.21999999999999972,2707763.666666666,3078023.0,0.11000000000000032,2791963.666666666,0.3461538461538459,0.1538461538461541,0.5,7.535,6.165,7.45965,7.39,7.535,7.45965,6.87,7.292999999999999,7.22007,6.72,7.139000000000001,7.067610000000001,9665968.666666666,5415527.333333333,5583927.333333333,0,0,0,0,0,0,0,1
