date,Unnamed: 0,Unnamed: 0.1,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,open_shift_1,MACD_shift_1,RSI_12_shift_1,K_shift_1,D_shift_1,close_MA_20_shift_1,close_MA_10_shift_1,close_MA_5_shift_1,close_shift_1,DEA,close_multiply_0.5,DEA_shift_1,UpperShadowRate,LowerShadowRate,EntityRate,LimitUp,LimitDown,D_shift_1#80#1&HS&thre,K#80#1&HS&thre,RSI_12#40#0&thre,D_shift_1#10#0&thre,close#close_shift_1#1&diff,K#90#1&thre,D_shift_1#90#1&HS&thre,D_shift_1#80#1&thre,RSI_12#20#1&thre,close_MA_10_shift_1#close_MA_5#1&diff,K#80#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+K#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+K#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+K#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+K#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+D_shift_1#80#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*K#90#1&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*close#close_shift_1#1&diff*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*K#90#1&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*close_MA_10_shift_1#close_MA_5#1&diff*D_shift_1#80#1&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*K#90#1&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#10#0&thre+D_shift_1#90#1&HS&thre*RSI_12#20#1&thre*RSI_12#40#0&thre*D_shift_1#80#1&thre,open#close#1&diff,close_MA_20_shift_1#close_MA_20#1&HS&diff,D_shift_1#90#1&thre,close_MA_20#close#1&HS&diff,open#open_shift_1#1&HS&diff,D_shift_1#20#0&thre,K#10#0&thre,D_shift_1#30#0&HS&thre,close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*open#close#1&diff+close_MA_20#close#1&HS&diff*open#open_shift_1#1&HS&diff*K#10#0&thre+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*open#close#1&diff+close_MA_20#close#1&HS&diff*D_shift_1#20#0&thre*K#10#0&thre+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*open#close#1&diff+close_MA_20#close#1&HS&diff*D_shift_1#90#1&thre*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*open#open_shift_1#1&HS&diff*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#20#0&thre*K#10#0&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*open#close#1&diff+close_MA_20_shift_1#close_MA_20#1&HS&diff*D_shift_1#90#1&thre*K#10#0&thre+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*open#close#1&diff+D_shift_1#30#0&HS&thre*open#open_shift_1#1&HS&diff*K#10#0&thre+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*open#close#1&diff+D_shift_1#30#0&HS&thre*D_shift_1#20#0&thre*K#10#0&thre+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*D_shift_1#90#1&HS&thre+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*open#close#1&diff+D_shift_1#30#0&HS&thre*D_shift_1#90#1&thre*K#10#0&thre
20180508,0,0,603259XSHG20180508,20200210010207,0,297,31.1,919703,603259.XSHG,25.92,1500,31.1,25.92,10419.85546875,104198.5546875,,,1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,32.033,32.033,32.033,32.033,32.033,30.166999999999998,30.166999999999998,30.166999999999998,30.166999999999998,30.166999999999998,,,,,,,,,,,,,,0.0,0.0,31.1,31.1,,,,,,,5.18,0.0,0.0,,,,,,297,,,,,,,,,,,,,,,,0.0,15.55,,0.0,0.0,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20180509,1,1,603259XSHG20180509,20200210010207,0,206,34.21,706813,603259.XSHG,34.21,1500,34.21,34.21,10419.85546875,104198.5546875,10.0,31.1,2,32.13666666666666,31.877500000000005,31.51466666666667,31.38272727272727,32.655,31.488750000000003,31.300645161290326,31.235217391304353,31.33923076923077,31.22196078431373,31.18184210526316,31.66545454545455,31.396190476190476,31.251707317073173,31.176790123456797,33.100766666666665,32.615418181818185,32.338076190476194,32.18925853658537,32.1120938271605,31.17256666666666,30.715490909090914,30.45430476190476,30.314156097560982,30.241486419753087,,,,,,,,,,,,,,0.04961823361823505,0.3969458689458804,31.330370370370368,31.578461538461546,,,,,,,0.0,0.0,0.0,,,,,,91,0.6400000000000003,,,,,,25.92,0.0,,,,,,,31.1,0.04961823361823505,17.105,0.0,,,,34.21,27.99,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20180510,2,2,603259XSHG20180510,20200210010207,0,85,37.63,319855,603259.XSHG,37.63,1500,37.63,37.63,10419.85546875,104198.5546875,9.9970768781,34.21,3,33.96777777777777,33.315625000000004,32.330044444444454,31.950661157024797,35.1425,32.256406250000005,31.708990634755462,31.51325141776938,31.82313609467456,31.47325643983084,31.35153047091413,32.749917355371906,31.989886621315183,31.562843545508628,31.336128638927,34.98681111111111,33.73241487603306,32.94958321995464,32.50972885187389,32.27621249809481,32.94874444444444,31.76741983471075,31.03019002267573,30.61595823914337,30.396044779759194,,,,,,,,,,,,,,0.1821861575798916,1.060543391693252,31.79700960219479,32.509467455621305,,,,,,,0.0,0.0,0.0,,,,,,6,1.843992659199776,1.241996329599888,,,,,34.21,0.3969458689458804,,,,,,,34.21,0.1821861575798916,18.815,0.04961823361823505,,,,37.63100000000001,30.789,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
20180511,3,3,603259XSHG20180511,20200210010207,0,551,41.39,2284521,603259.XSHG,41.39,1500,41.39,41.39,10419.85546875,104198.5546875,9.9920276375,37.63,4,36.44185185185185,35.33421875000001,33.53803851851852,32.80878287002253,38.26625,33.39810546875,32.33357188412608,31.94267526917071,32.559048702776515,31.862148344151198,31.61570072167955,34.320841472577015,32.88513551452326,32.04221703109358,31.584372376237447,37.53510740740741,35.350466716754326,33.87168957995896,33.003483542026395,32.531903547524564,35.34859629629629,33.2912162283997,31.89858144908757,31.08095052016077,30.63684120495032,,,,,,,,,,,,,,0.4193692756970872,1.8974649449375651,32.507601483513696,33.875703231679566,,,,,,,0.0,0.0,0.0,,,,,,557,3.339641071304884,2.59181686525233,,,,,37.63,1.060543391693252,,,,,,,37.63,0.4193692756970872,20.695,0.1821861575798916,,,,41.39300000000001,33.867000000000004,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
20180514,4,4,603259XSHG20180514,20200210010207,0,737,45.53,3356153,603259.XSHG,45.53,1500,45.53,45.53,10419.85546875,104198.5546875,10.0024160425,41.39,4,39.47123456790123,37.8831640625,35.136966716049386,33.96525715456594,41.898125,34.91459228515625,33.18495434321472,32.533428518337196,33.55681418717832,32.3981425267335,31.981866492161668,36.35887029574483,34.08940832266391,32.70015766372316,31.92870886077479,40.655371604938274,37.44963640461717,35.112090572343824,33.68116239363486,32.88657012659803,38.28709753086421,35.268104186872485,33.06672607298399,31.719152933811465,30.97084759495155,31.1,19.90413989255243,,,,,,,,,,,,0.7747850944419321,2.8433265499587588,33.47222359584602,35.66867196526733,37.972,,,,,,0.0,0.0,0.0,,,,,,1294,4.859693751164504,4.0996674112346945,,,,,41.39,1.8974649449375651,,,,,,,41.39,0.7747850944419321,22.765,0.4193692756970872,,,,45.528999999999996,37.25100000000001,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20180515,5,5,603259XSHG20180515,20200210010207,0,897,50.08,4493428,603259.XSHG,50.08,1500,50.08,50.08,10419.85546875,104198.5546875,9.9934109378,45.53,4,43.00748971193415,40.932373046875,37.12937115390947,35.43023377687813,45.9890625,36.81026824951172,34.274957288813766,33.29632293058341,34.82782848047229,33.09154870215572,32.45813316342057,38.85362115106396,35.612321815743535,33.54795485085862,32.37688888890381,44.29771440329217,40.01922978559588,36.68069147021585,34.554393496384385,33.348195555570925,41.71726502057612,37.688012516532034,34.54395216127123,32.54151620533286,31.405582222236692,34.21,19.900402221796604,,,,,,,100.0,,,,,1.2565020955161899,3.853736008594068,34.70242925541298,37.88579935522621,41.768,,,,,,0.0,0.0,0.0,,,,,-100.0,2191,6.217509749182856,5.53860175017368,,,,,45.53,2.8433265499587588,,,,,,37.972,45.53,1.2565020955161903,25.04,0.7747850944419321,,,,50.08300000000001,40.977,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20180516,6,6,603259XSHG20180516,20200210010207,0,988,55.09,5446803,603259.XSHG,55.09,1500,55.09,55.09,10419.85546875,104198.5546875,10.0039936102,50.08,4,47.03499314128943,44.47177978515625,39.52412166672153,37.217485251707394,50.53953125,39.09523471832276,35.61786327018063,34.24387410751457,36.3864570588975,33.954233066777064,33.05370860648844,41.805690032688695,37.467338785672716,34.598786321548445,32.937706447202466,48.44604293552813,43.059860733669346,38.591358949242895,35.6367499111949,33.925837640618546,45.62394334705076,40.55151933170804,36.34331862210254,33.560822731901986,31.949575253786396,37.63,19.90684311335539,,,,,,,100.0,,77.13826366559485,,,1.8691976311097969,4.901564284748847,36.212619680937955,40.532599454422176,45.943999999999996,,,,,,0.0,0.0,0.0,,,,,-100.0,3179,7.324836908022203,6.771173328602528,,,,100.0,50.08,3.853736008594068,,,,,,41.768,50.08,1.8691976311097969,27.545,1.2565020955161903,,,,55.088,45.071999999999996,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20180517,7,7,603259XSHG20180517,20200210010207,0,1965,60.6,11913172,603259.XSHG,60.6,1500,60.6,60.6,10419.85546875,104198.5546875,10.0018152115,55.09,4,51.55666209419297,48.503834838867185,42.33423877782533,39.343168410643095,55.569765625,41.783330378532405,37.229614026943175,35.38979262457916,38.249037285136154,34.999165103374054,33.77861101158086,45.22283729947257,39.67044937751341,35.86713820830218,33.620726041098706,53.103361957018755,46.579522418456754,40.86056285883882,36.94315235455125,34.629347822331674,50.009962231367176,43.866152180488385,38.48033589618801,34.791124062053115,32.612104259865745,41.39,19.909770865487367,,,50.0,50.0,50.0,,100.0,,77.14118678748903,,,2.6155180146647923,5.9705630684399615,38.01909229716476,43.619891846049526,50.538000000000004,,,,,,0.0,0.0,0.0,,,,,-100.0,5144,8.16815759674604,7.746497252384121,,,,100.0,55.09,4.901564284748847,,,,,,45.943999999999996,55.09,2.6155180146647923,30.3,1.8691976311097969,,,,60.59900000000001,49.581,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20180518,8,8,603259XSHG20180518,20200210010207,0,3116,66.66,20772256,603259.XSHG,66.66,1500,66.66,66.66,10419.85546875,104198.5546875,10.0,60.6,4,56.591108062795314,53.04287612915039,45.57767360744862,41.82651673694826,61.1148828125,44.89291408121585,39.128348605850064,36.74936685829311,40.434495955510286,36.240766471869186,34.64391072180241,49.12050324502302,42.240882770131186,37.36922902740939,34.4365105832938,58.288841304679174,50.59411834237371,43.50810925323513,38.490305898231675,35.46960590079261,54.893374820911454,47.64688814767232,40.97365628702725,36.2481521565871,33.40341526579499,45.53,19.909339473305508,,,66.66666666666667,55.555555555555564,88.8888888888889,,100.0,,77.14589423332446,,,3.4971909825000203,7.053383742681823,40.140641015893294,47.16452386973423,55.592,,,,,,0.0,0.0,0.0,,,,,-100.0,8260,8.77780981400547,8.472983705375755,,,,100.0,60.6,5.9705630684399615,,50.0,50.0,,,50.538000000000004,60.6,3.4971909825000203,33.33,2.6155180146647923,,,,66.66000000000001,54.54,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20180521,9,9,603259XSHG20180521,20200210010207,0,1762,73.33,12922066,603259.XSHG,73.33,1500,73.33,73.33,10419.85546875,104198.5546875,10.0060006001,66.66,4,62.17073870853021,58.11465709686279,49.27798379312214,44.690469760862065,67.22244140625,48.44754982106388,41.33490676031135,38.3398291688021,42.96491934354796,37.695246218070395,35.661965702807606,53.5222299277461,45.20175107773774,39.12341297729185,35.396843655311244,64.0358608697861,55.127896825578496,46.55780361006988,40.297115366610605,36.45874896497058,60.30561654727428,51.91656302991373,43.8456985454056,37.9497105879731,34.3349383456519,50.08,19.914311878597587,,,77.7777777777778,62.96296296296296,107.40740740740743,,100.0,,77.16839816380767,,,4.515926722835198,8.149885922681431,42.599112051753046,51.18998173592897,61.152,49.562,,,,,0.0,0.0,0.0,0.016655948553054658,,,,-100.0,6498,9.201961565902863,8.989885689954168,,,,100.0,66.66,7.053383742681823,,66.66666666666667,55.555555555555564,,,55.592,66.66,4.515926722835198,36.665,3.4971909825000203,,,,73.32600000000002,59.994,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
